nome,codigo,preco_usd,capitalizacao,vol_24h,vol_total,var_24h,var_7d
Bitcoin,BTC,38048.8,$720.63B,$18.91B,0.02%,+3.54%,+6.88%
Ethereum,ETH,2579.11,$308.62B,$12.46B,0.02%,+7.63%,+4.88%
Tether,USDT,1.0006,$78.15B,$43.98B,0.06%,+0.02%,-0.02%
BNB,BNB,390.5,$64.50B,$1.46B,0%,+2.73%,+6.15%
USD Coin,USDC,0.9997,$49.66B,$77.10T,99.92%,0.01%,+0.04%
Cardano,ADA,1.0717,$36.05B,$974.50M,0%,+3.76%,-2.47%
Solana,SOL,97.005,$30.63B,$2.02B,0%,+9.17%,-2.36%
XRP,XRP,0.61954,$29.59B,$1.05B,0%,+3.69%,+3.49%
Terra,LUNA,52.7242,$21.01B,$2.90B,0%,+6.27%,-17.48%
Dogecoin,DOGE,0.143174,$19.01B,$417.83M,0%,+2.26%,+8.33%
